date,humidity
2021/2/2,90.76923077
2021/2/3,87.82051282
2021/2/4,86.30434783
2021/2/5,91
2021/2/6,92
2021/2/7,91.35483871
2021/2/8,91.75862069
2021/2/9,93.28
2021/2/10,96.02857143
2021/2/11,96.32758621
2021/2/12,97.234375
2021/2/13,91.78723404
2021/2/14,95.39534884
2021/2/15,96.98611111
2021/2/16,95.51612903
2021/2/17,87.86956522
2021/2/18,94.26666667
2021/2/19,96.17105263
2021/2/20,85.82608696
2021/2/21,91.15384615
2021/2/22,94.37837838
2021/2/23,87.39473684
2021/2/24,85.52173913
2021/2/25,90
2021/2/26,85.96296296
2021/2/27,82.07692308
