date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_google_mobility,key_apple_mobility,key_numeric,key_alpha_2
2020/9/24,0,13546246,801671,0,15389,3291,0,903,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/9/25,0,13656239,805733,0,15533,3209,0,865,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/9/26,0,13740781,809214,0,15588,3131,0,866,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/9/27,0,13760842,811698,0,15608,3104,0,818,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/9/28,0,13760842,814796,0,15641,3189,0,826,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/9/29,0,13803652,817939,0,15791,3281,0,831,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/9/30,0,13897025,821125,0,15898,3234,0,811,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/1,0,14011250,824306,0,15989,3113,0,775,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/2,0,14107871,828364,0,16074,3063,0,776,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/3,0,14199466,831494,0,16122,3107,0,774,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/4,0,14224515,834635,0,16150,3150,0,790,39512223,3,2,2,4,0,1,1,3,2,3,2,64.35,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
