Date,City,State,PercentOfBaseline
2020/10/14,South San Francisco,California,55
2020/10/15,Los Angeles,California,81
2020/10/15,South San Francisco,California,51
2020/10/16,Los Angeles,California,80
2020/10/16,South San Francisco,California,51
2020/10/17,Los Angeles,California,77
2020/10/17,South San Francisco,California,41
2020/10/18,Los Angeles,California,79
2020/10/18,South San Francisco,California,41
2020/10/19,Los Angeles,California,81
2020/10/19,South San Francisco,California,42
2020/10/20,Los Angeles,California,83
2020/10/20,South San Francisco,California,54
2020/10/21,Los Angeles,California,83
2020/10/21,South San Francisco,California,50
2020/10/22,Los Angeles,California,88
2020/10/22,South San Francisco,California,50
2020/10/23,Los Angeles,California,85
2020/10/23,South San Francisco,California,51
2020/10/24,Los Angeles,California,80
2020/10/24,South San Francisco,California,50
2020/10/25,Los Angeles,California,82
2020/10/25,South San Francisco,California,39
2020/10/26,Los Angeles,California,84
2020/10/26,South San Francisco,California,48
2020/10/27,Los Angeles,California,86
2020/10/27,South San Francisco,California,52
2020/10/28,Los Angeles,California,81
2020/10/28,South San Francisco,California,57
2020/10/29,Los Angeles,California,83
2020/10/29,South San Francisco,California,56
2020/10/30,Los Angeles,California,82
2020/10/30,South San Francisco,California,53
2020/10/31,Los Angeles,California,78
2020/10/31,South San Francisco,California,42
2020/11/1,Los Angeles,California,71
2020/11/1,South San Francisco,California,37
2020/11/2,Los Angeles,California,80
2020/11/2,South San Francisco,California,44
2020/11/3,Los Angeles,California,80
2020/11/3,South San Francisco,California,49
2020/11/4,Los Angeles,California,82
2020/11/4,South San Francisco,California,40
2020/11/5,Los Angeles,California,86
2020/11/5,South San Francisco,California,43
2020/11/6,Los Angeles,California,87
2020/11/6,South San Francisco,California,43
2020/11/7,Los Angeles,California,81
2020/11/7,South San Francisco,California,42
2020/11/8,Los Angeles,California,77
2020/11/8,South San Francisco,California,49
2020/11/9,Los Angeles,California,78
2020/11/9,South San Francisco,California,44
2020/11/10,Los Angeles,California,88
2020/11/10,South San Francisco,California,51
2020/11/11,Los Angeles,California,75
2020/11/11,South San Francisco,California,51
2020/11/12,Los Angeles,California,84
2020/11/12,South San Francisco,California,45
2020/11/13,Los Angeles,California,90
2020/11/13,South San Francisco,California,43
2020/11/14,Los Angeles,California,79
2020/11/14,South San Francisco,California,45
2020/11/15,Los Angeles,California,72
2020/11/15,South San Francisco,California,47
2020/11/16,Los Angeles,California,82
2020/11/16,South San Francisco,California,45
2020/11/17,Los Angeles,California,87
2020/11/17,South San Francisco,California,59
2020/11/18,Los Angeles,California,80
2020/11/18,South San Francisco,California,48
2020/11/19,Los Angeles,California,83
2020/11/19,South San Francisco,California,47
2020/11/20,Los Angeles,California,86
2020/11/20,South San Francisco,California,56
2020/11/21,Los Angeles,California,85
2020/11/21,South San Francisco,California,49
